"Id_Criterion","Cd_Criterion","Description","Label","Rank","Url","Reference_Id_Reference","Theme_Id_Theme"
"1","Rgaa32017-1-1","Chaque image a-t-elle une alternative textuelle ?","1.1","1",,"1","1"
"2","Rgaa32017-1-2","Pour chaque image de décoration ayant une alternative textuelle, cette alternative est-elle vide ?","1.2","2",,"1","1"
"3","Rgaa32017-1-3","Pour chaque image porteuse dinformation ayant une alternative textuelle, cette alternative est-elle pertinente (hors cas particuliers) ?","1.3","3",,"1","1"
"4","Rgaa32017-1-4","Pour chaque image utilisée comme CAPTCHA ou comme image-test, ayant une alternative textuelle, cette alternative permet-elle didentifier la nature et la fonction de limage ?","1.4","4",,"1","1"
"5","Rgaa32017-1-5","Pour chaque image utilisée comme CAPTCHA, une solution daccès alternatif au contenu ou à la fonction du CAPTCHA est-elle présente ?","1.5","5",,"1","1"
"6","Rgaa32017-1-6","Chaque image porteuse dinformation a-t-elle, si nécessaire, une description détaillée ?","1.6","6",,"1","1"
"7","Rgaa32017-1-7","Pour chaque image porteuse dinformation ayant une description détaillée, cette description est-elle pertinente ?","1.7","7",,"1","1"
"8","Rgaa32017-1-8","Chaque image texte, en labsence dun mécanisme de remplacement, doit si possible être remplacée par du texte stylé. Cette règle est-elle respectée (hors cas particuliers) ?","1.8","8",,"1","1"
"9","Rgaa32017-1-9","Chaque image texte doit si possible être remplacée par du texte stylé. Cette règle est-elle respectée (hors cas particuliers) ?","1.9","9",,"1","1"
"10","Rgaa32017-1-10","Chaque légende dimage est-elle, si nécessaire, correctement reliée à limage correspondante ?","1.10","10",,"1","1"
"11","Rgaa32017-2-1","Chaque cadre en ligne a-t-il un titre de cadre ?","2.1","11",,"1","2"
"12","Rgaa32017-2-2","Pour chaque cadre en ligne ayant un titre de cadre, ce titre de cadre est-il pertinent ?","2.2","12",,"1","2"
"13","Rgaa32017-3-1","Dans chaque page Web, linformation ne doit pas être donnée uniquement par la couleur. Cette règle est-elle respectée ?","3.1","13",,"1","3"
"14","Rgaa32017-3-2","Dans chaque page Web, linformation ne doit pas être donnée uniquement par la couleur. Cette règle est-elle implémentée de façon pertinente ?","3.2","14",,"1","3"
"15","Rgaa32017-3-3","Dans chaque page Web, le contraste entre la couleur du texte et la couleur de son arrière-plan est-il suffisamment élevé (hors cas particuliers) ?","3.3","15",,"1","3"
"16","Rgaa32017-3-4","Dans chaque page Web, le contraste entre la couleur du texte et la couleur de son arrière-plan est-il amélioré (hors cas particuliers) ?","3.4","16",,"1","3"
"17","Rgaa32017-4-1","Chaque média temporel pré-enregistré a-t-il, si nécessaire, une transcription textuelle ou une audio-description (hors cas particuliers) ?","4.1","17",,"1","4"
"18","Rgaa32017-4-2","Pour chaque média temporel pré-enregistré ayant une transcription textuelle ou une audio-description synchronisée, celles-ci sont-elles pertinentes (hors cas particuliers) ?","4.2","18",,"1","4"
"19","Rgaa32017-4-3","Chaque média temporel synchronisé pré-enregistré a-t-il, si nécessaire, des sous-titres synchronisés (hors cas particuliers) ?","4.3","19",,"1","4"
"20","Rgaa32017-4-4","Pour chaque média temporel synchronisé pré-enregistré ayant des sous-titres synchronisés, ces sous-titres sont-ils pertinents ?","4.4","20",,"1","4"
"21","Rgaa32017-4-5","Chaque média temporel en direct a-t-il, si nécessaire, des sous-titres synchronisés ou une transcription textuelle (hors cas particuliers) ?","4.5","21",,"1","4"
"22","Rgaa32017-4-6","Pour chaque média temporel en direct ayant des sous-titres synchronisés ou une transcription textuelle, ceux-ci sont-ils pertinents ?","4.6","22",,"1","4"
"23","Rgaa32017-4-7","Chaque média temporel pré-enregistré a-t-il, si nécessaire, une audio-description synchronisée (hors cas particuliers) ?","4.7","23",,"1","4"
"24","Rgaa32017-4-8","Pour chaque média temporel pré-enregistré ayant une audio-description synchronisée, celle-ci est-elle pertinente ?","4.8","24",,"1","4"
"25","Rgaa32017-4-9","Chaque média temporel pré-enregistré a-t-il, si nécessaire, une interprétation en langue des signes (hors cas particuliers) ?","4.9","25",,"1","4"
"26","Rgaa32017-4-10","Pour chaque média temporel pré-enregistré ayant une interprétation en langue des signes, celle-ci est-elle pertinente ?","4.10","26",,"1","4"
"27","Rgaa32017-4-11","Chaque média temporel pré-enregistré a-t-il, si nécessaire, une audio-description étendue synchronisée (hors cas particuliers) ?","4.11","27",,"1","4"
"28","Rgaa32017-4-12","Pour chaque média temporel pré-enregistré ayant une audio-description étendue synchronisée, celle-ci est-elle pertinente ?","4.12","28",,"1","4"
"29","Rgaa32017-4-13","Chaque média temporel synchronisé ou seulement vidéo a-t-il, si nécessaire, une transcription textuelle (hors cas particuliers) ?","4.13","29",,"1","4"
"30","Rgaa32017-4-14","Pour chaque média temporel synchronisé ou seulement vidéo, ayant une transcription textuelle, celle-ci est-elle pertinente ?","4.14","30",,"1","4"
"31","Rgaa32017-4-15","Chaque média temporel est-il clairement identifiable (hors cas particuliers) ?","4.15","31",,"1","4"
"32","Rgaa32017-4-16","Chaque média non temporel a-t-il, si nécessaire, une alternative (hors cas particuliers) ?","4.16","32",,"1","4"
"33","Rgaa32017-4-17","Pour chaque média non temporel ayant une alternative, cette alternative est-elle pertinente ?","4.17","33",,"1","4"
"34","Rgaa32017-4-18","Chaque son déclenché automatiquement est-il contrôlable par lutilisateur ?","4.18","34",,"1","4"
"35","Rgaa32017-4-19","Pour chaque média temporel seulement audio pré-enregistré, les dialogues sont-ils suffisamment audibles (hors cas particuliers) ?","4.19","35",,"1","4"
"36","Rgaa32017-4-20","La consultation de chaque média temporel est-elle contrôlable par le clavier et la souris ?","4.20","36",,"1","4"
"37","Rgaa32017-4-21","La consultation de chaque média non temporel est-elle contrôlable par le clavier et la souris ?","4.21","37",,"1","4"
"38","Rgaa32017-4-22","Chaque média temporel et non temporel est-il compatible avec les technologies dassistance (hors cas particuliers) ?","4.22","38",,"1","4"
"39","Rgaa32017-5-1","Chaque tableau de données complexe a-t-il un résumé ?","5.1","39",,"1","5"
"40","Rgaa32017-5-2","Pour chaque tableau de données complexe ayant un résumé, celui-ci est-il pertinent ?","5.2","40",,"1","5"
"41","Rgaa32017-5-3","Pour chaque tableau de mise en forme, le contenu linéarisé reste-t-il compréhensible (hors cas particuliers)?","5.3","41",,"1","5"
"42","Rgaa32017-5-4","Chaque tableau de données a-t-il un titre ?","5.4","42",,"1","5"
"43","Rgaa32017-5-5","Pour chaque tableau de données ayant un titre, celui-ci est-il pertinent ?","5.5","43",,"1","5"
"44","Rgaa32017-5-6","Pour chaque tableau de données, chaque en-tête de colonnes et chaque en-tête de lignes sont-ils correctement déclarés ?","5.6","44",,"1","5"
"45","Rgaa32017-5-7","Pour chaque tableau de données, la technique appropriée permettant dassocier chaque cellule avec ses en-têtes est-elle utilisée ?","5.7","45",,"1","5"
"46","Rgaa32017-5-8","Chaque tableau de mise en forme ne doit pas utiliser déléments propres aux tableaux de données. Cette règle est-elle respectée ?","5.8","46",,"1","5"
"47","Rgaa32017-6-1","Chaque lien est-il explicite (hors cas particuliers) ?","6.1","47",,"1","6"
"48","Rgaa32017-6-2","Pour chaque lien ayant un titre de lien, celui-ci est-il pertinent ?","6.2","48",,"1","6"
"49","Rgaa32017-6-3","Chaque intitulé de lien seul est-il explicite hors contexte (hors cas particuliers) ?","6.3","49",,"1","6"
"50","Rgaa32017-6-4","Chaque lien identique a-t-il les mêmes fonction et destination ?","6.4","50",,"1","6"
"51","Rgaa32017-6-5","Dans chaque page Web, chaque lien, à lexception des ancres, a-t-il un intitulé ?","6.5","51",,"1","6"
"52","Rgaa32017-7-1","Chaque script est-il, si nécessaire, compatible avec les technologies dassistance ?","7.1","52",,"1","7"
"53","Rgaa32017-7-2","Pour chaque script ayant une alternative, cette alternative est-elle pertinente ?","7.2","53",,"1","7"
"54","Rgaa32017-7-3","Chaque script est-il contrôlable par le clavier et la souris (hors cas particuliers) ?","7.3","54",,"1","7"
"55","Rgaa32017-7-4","Pour chaque script qui initie un changement de contexte, lutilisateur est-il averti ou en a-t-il le contrôle ?","7.4","55",,"1","7"
"56","Rgaa32017-7-5","Chaque script qui provoque une alerte non sollicitée est-il contrôlable par lutilisateur (hors cas particuliers) ?","7.5","56",,"1","7"
"57","Rgaa32017-8-1","Chaque page Web est-elle définie par un type de document ?","8.1","57",,"1","8"
"58","Rgaa32017-8-2","Pour chaque page Web, le code source est-il valide selon le type de document spécifié sauf cas particulier ?","8.2","58",,"1","8"
"59","Rgaa32017-8-3","Dans chaque page Web, la langue par défaut est-elle présente ?","8.3","59",,"1","8"
"60","Rgaa32017-8-4","Pour chaque page Web ayant une langue par défaut, le code de langue est-il pertinent ?","8.4","60",,"1","8"
"61","Rgaa32017-8-5","Chaque page Web a-t-elle un titre de page ?","8.5","61",,"1","8"
"62","Rgaa32017-8-6","Pour chaque page Web ayant un titre de page, ce titre est-il pertinent ?","8.6","62",,"1","8"
"63","Rgaa32017-8-7","Dans chaque page Web, chaque changement de langue est-il indiqué dans le code source (hors cas particuliers) ?","8.7","63",,"1","8"
"64","Rgaa32017-8-8","Dans chaque page Web, chaque changement de langue est-il pertinent ?","8.8","64",,"1","8"
"65","Rgaa32017-8-9","Dans chaque page Web, les balises ne doivent pas être utilisées uniquement à des fins de présentation. Cette règle est-elle respectée ?","8.9","65",,"1","8"
"66","Rgaa32017-8-10","Dans chaque page Web, les changements du sens de lecture sont-ils signalés ?","8.10","66",,"1","8"
"67","Rgaa32017-9-1","Dans chaque page Web, linformation est-elle structurée par lutilisation appropriée de titres ?","9.1","67",,"1","9"
"68","Rgaa32017-9-2","Dans chaque page Web, la structure du document est-elle cohérente ?","9.2","68",,"1","9"
"69","Rgaa32017-9-3","Dans chaque page Web, chaque liste est-elle correctement structurée ?","9.3","69",,"1","9"
"70","Rgaa32017-9-4","Dans chaque page Web, la première occurrence de chaque abréviation permet-elle den connaître la signification ?","9.4","70",,"1","9"
"71","Rgaa32017-9-5","Dans chaque page Web, la signification de chaque abréviation est-elle pertinente ?","9.5","71",,"1","9"
"72","Rgaa32017-9-6","Dans chaque page Web, chaque citation est-elle correctement indiquée ?","9.6","72",,"1","9"
"73","Rgaa32017-10-1","Dans le site Web, des feuilles de styles sont-elles utilisées pour contrôler la présentation de linformation ?","10.1","73",,"1","10"
"74","Rgaa32017-10-2","Dans chaque page Web, le contenu visible reste-t-il présent lorsque les feuilles de styles ou les images sont désactivées ?","10.2","74",,"1","10"
"75","Rgaa32017-10-3","Dans chaque page Web, linformation reste-t-elle compréhensible lorsque les feuilles de styles sont désactivées ?","10.3","75",,"1","10"
"76","Rgaa32017-10-4","Dans chaque page Web, le texte reste-t-il lisible lorsque la taille des caractères est augmentée jusquà 200%, au moins ?","10.4","76",,"1","10"
"77","Rgaa32017-10-5","Dans chaque page Web, les déclarations CSS de couleurs de fond délément et de police sont-elles correctement utilisées?","10.5","77",,"1","10"
"78","Rgaa32017-10-6","Dans chaque page Web, chaque lien dont la nature nest pas évidente est-il visible par rapport au texte environnant ?","10.6","78",,"1","10"
"79","Rgaa32017-10-7","Dans chaque page Web, pour chaque élément recevant le focus, la prise de focus est-elle visible ?","10.7","79",,"1","10"
"80","Rgaa32017-10-8","Dans chaque page Web, le choix de la couleur de fond et de police du texte est-il contrôlable par lutilisateur ?","10.8","80",,"1","10"
"81","Rgaa32017-10-9","Pour chaque page Web, le texte ne doit pas être justifié. Cette règle est-elle respectée ?","10.9","81",,"1","10"
"82","Rgaa32017-10-10","Pour chaque page Web, en affichage plein écran et avec une taille de police à 200%, chaque bloc de texte reste-t-il lisible sans lutilisation de la barre de défilement horizontal ?","10.10","82",,"1","10"
"83","Rgaa32017-10-11","Pour chaque page Web, les blocs de texte ont-ils une largeur inférieure ou égale à 80 caractères (hors cas particuliers) ?","10.11","83",,"1","10"
"84","Rgaa32017-10-12","Pour chaque page Web, lespace entre les lignes et les paragraphes est-il suffisant ?","10.12","84",,"1","10"
"85","Rgaa32017-10-13","Pour chaque page Web, les textes cachés sont-ils correctement restitués par les technologies dassistance ?","10.13","85",,"1","10"
"86","Rgaa32017-10-14","Dans chaque page Web, linformation ne doit pas être donnée uniquement par la forme, taille ou position. Cette règle est-elle respectée ?","10.14","86",,"1","10"
"87","Rgaa32017-10-15","Dans chaque page Web, linformation ne doit pas être donnée par la forme, taille ou position uniquement. Cette règle est-elle implémentée de façon pertinente ?","10.15","87",,"1","10"
"88","Rgaa32017-11-1","Chaque champ de formulaire a-t-il une étiquette ?","11.1","88",,"1","11"
"89","Rgaa32017-11-2","Chaque étiquette associée à un champ de formulaire est-elle pertinente ?","11.2","89",,"1","11"
"90","Rgaa32017-11-3","Dans chaque formulaire, chaque étiquette associée à un champ de formulaire ayant la même fonction et répétée plusieurs fois dans une même page ou dans un ensemble de pages est-elle cohérente ?","11.3","90",,"1","11"
"91","Rgaa32017-11-4","Dans chaque formulaire, chaque étiquette de champ et son champ associé sont-ils accolés ?","11.4","91",,"1","11"
"92","Rgaa32017-11-5","Dans chaque formulaire, les informations de même nature sont-elles regroupées, si nécessaire ?","11.5","92",,"1","11"
"93","Rgaa32017-11-6","Dans chaque formulaire, chaque regroupement de champs de formulaire a-t-il une légende ?","11.6","93",,"1","11"
"94","Rgaa32017-11-7","Dans chaque formulaire, chaque légende associée à un groupement de champs de formulaire est-elle pertinente ?","11.7","94",,"1","11"
"95","Rgaa32017-11-8","Dans chaque formulaire, chaque liste de choix est-elle structurée de manière pertinente ?","11.8","95",,"1","11"
"96","Rgaa32017-11-9","Dans chaque formulaire, lintitulé de chaque bouton est-il pertinent ?","11.9","96",,"1","11"
"97","Rgaa32017-11-10","Dans chaque formulaire, le contrôle de saisie est-il utilisé de manière pertinente ?","11.10","97",,"1","11"
"98","Rgaa32017-11-11","Dans chaque formulaire, le contrôle de saisie est-il accompagné, si possible, de suggestions facilitant la correction des erreurs de saisie ?","11.11","98",,"1","11"
"99","Rgaa32017-11-12","Pour chaque formulaire, les données à caractère financier, juridique ou personnel peuvent-elles être modifiées, mise à jour ou récupérées par lutilisateur ?","11.12","99",,"1","11"
"100","Rgaa32017-11-13","Pour chaque formulaire, toutes les données peuvent-elles être modifiées, mises à jour ou récupérées par lutilisateur ?","11.13","100",,"1","11"
"101","Rgaa32017-11-14","Pour chaque formulaire, des aides à la saisie sont-elles présentes ?","11.14","101",,"1","11"
"102","Rgaa32017-11-15","Pour chaque formulaire, chaque aide à la saisie est-elle pertinente ?","11.15","102",,"1","11"
"103","Rgaa32017-12-1","Chaque ensemble de pages dispose-t-il de deux systèmes de navigation différents, au moins (hors cas particuliers) ?","12.1","103",,"1","12"
"104","Rgaa32017-12-2","Dans chaque ensemble de pages, le menu ou les barres de navigation sont-ils toujours à la même place (hors cas particuliers) ?","12.2","104",,"1","12"
"105","Rgaa32017-12-3","Dans chaque ensemble de pages, le menu et les barres de navigation ont-ils une présentation cohérente (hors cas particuliers) ?","12.3","105",,"1","12"
"106","Rgaa32017-12-4","La page ""plan du site"" est-elle pertinente ?","12.4","106",,"1","12"
"107","Rgaa32017-12-5","Dans chaque ensemble de pages, la page ""plan du site"" est-elle atteignable de manière identique ?","12.5","107",,"1","12"
"108","Rgaa32017-12-6","Dans chaque ensemble de pages, le moteur de recherche est-il atteignable de manière identique ?","12.6","108",,"1","12"
"109","Rgaa32017-12-7","Dans chaque page dune collection de pages, des liens facilitant la navigation sont-ils présents ?","12.7","109",,"1","12"
"110","Rgaa32017-12-8","Dans chaque page web, un fil dAriane est-il présent ?","12.8","110",,"1","12"
"111","Rgaa32017-12-9","Dans chaque page Web, le fil dAriane est-il pertinent ?","12.9","111",,"1","12"
"112","Rgaa32017-12-10","Dans chaque page Web, les groupes de liens importants (menu, barre de navigation...) et la zone de contenu sont-ils identifiés ?","12.10","112",,"1","12"
"113","Rgaa32017-12-11","Dans chaque page Web, des liens dévitement ou daccès rapide aux groupes de liens importants et à la zone de contenu sont-ils présents ?","12.11","113",,"1","12"
"114","Rgaa32017-12-12","Dans chaque page Web, la page en cours de consultation est-elle indiquée dans le menu de navigation ?","12.12","114",,"1","12"
"115","Rgaa32017-12-13","Dans chaque page Web, lordre de tabulation est-il cohérent ?","12.13","115",,"1","12"
"116","Rgaa32017-12-14","Dans chaque page Web, la navigation ne doit pas contenir de piège au clavier. Cette règle est-elle respectée ?","12.14","116",,"1","12"
"117","Rgaa32017-13-1","Pour chaque page Web, lutilisateur a-t-il le contrôle de chaque limite de temps modifiant le contenu (hors cas particuliers) ?","13.1","117",,"1","13"
"118","Rgaa32017-13-2","Dans chaque page Web, pour chaque ouverture de nouvelle fenêtre, lutilisateur est-il averti ?","13.2","118",,"1","13"
"119","Rgaa32017-13-3","Dans chaque page Web, louverture dune nouvelle fenêtre ne doit pas être déclenchée sans action de lutilisateur. Cette règle est-elle respectée ?","13.3","119",,"1","13"
"120","Rgaa32017-13-4","Dans chaque page Web, une tâche ne doit pas requérir de limite de temps pour être réalisée, sauf si elle se déroule en temps réel ou si cette limite de temps est essentielle. Cette règle est-elle respectée ?","13.4","120",,"1","13"
"121","Rgaa32017-13-5","Dans chaque page Web, lors dune interruption de session authentifiée, les données saisies par lutilisateur sont-elles récupérées après ré-authentification ?","13.5","121",,"1","13"
"122","Rgaa32017-13-6","Dans chaque page Web, pour chaque fichier en téléchargement, des informations relatives à sa consultation sont-elles présentes (hors cas particuliers) ?","13.6","122",,"1","13"
"123","Rgaa32017-13-7","Dans chaque page Web, chaque document bureautique en téléchargement possède-t-il, si nécessaire, une version accessible (hors cas particuliers) ?","13.7","123",,"1","13"
"124","Rgaa32017-13-8","Pour chaque document bureautique ayant une version accessible, cette version offre-t-elle la même information ?","13.8","124",,"1","13"
"125","Rgaa32017-13-9","Dans chaque page Web, les expressions inhabituelles, les expressions idiomatiques ou le jargon sont-ils explicités ?","13.9","125",,"1","13"
"126","Rgaa32017-13-10","Dans chaque page Web, pour chaque expression inhabituelle ou limitée, idiomatique ou de jargon ayant une définition, cette définition est-elle pertinente ?","13.10","126",,"1","13"
"127","Rgaa32017-13-11","Dans chaque page Web, chaque contenu cryptique (art ascii, émoticon, syntaxe cryptique) a-t-il une alternative ?","13.11","127",,"1","13"
"128","Rgaa32017-13-12","Dans chaque page Web, pour chaque contenu cryptique (art ascii, émoticon, syntaxe cryptique) ayant une alternative, cette alternative est-elle pertinente ?","13.12","128",,"1","13"
"129","Rgaa32017-13-13","Dans chaque page Web, pour chaque mot dont le sens ne peut être compris sans en connaître la prononciation, celle-ci est-elle indiquée ?","13.13","129",,"1","13"
"130","Rgaa32017-13-14","Dans chaque page Web, chaque texte qui nécessite un niveau de lecture plus avancé que le premier cycle de lenseignement secondaire a-t-il une version alternative ?","13.14","130",,"1","13"
"131","Rgaa32017-13-15","Dans chaque page Web, les changements brusques de luminosité ou les effets de flash sont-ils correctement utilisés ?","13.15","131",,"1","13"
"132","Rgaa32017-13-16","Dans chaque page Web, les changements brusques de luminosité ou les effets de flash ont-ils une fréquence inférieure ou égale à 3 par seconde ?","13.16","132",,"1","13"
"133","Rgaa32017-13-17","Dans chaque page Web, chaque contenu en mouvement ou clignotant est-il contrôlable par lutilisateur ?","13.17","133",,"1","13"